Question,Weaviate certainty,Text,Score
Cuss words,0.9043495655059814,"That's all you're fucking capable of anyway. You know what I shouldn't have called you so harsh, harsher. Look at his eyes. Exactly what the fuck out. ओके",98.85320663452148
Cuss words,0.8986472189426422,जल्दी आप इसको क्लीन कीजिये। अरे इधर ऍम पे कॉल किया था आज रात का टाइम पे पहुँच हम मार के इधर उधर लुढक मत जाना टाइम पे पहुँच जाना।,0.5255661439150572
Cuss words,0.8972577452659607,"चिंटू जैसे लोग मेरी मदद करेंगे। ok, Shiv don't take this in the wrong way, ok? I'm just trying to help. I don't need help ne I'm shit. Fucking ma",99.67226386070251
Cuss words,0.8939640522003174,"-- Why are you
-- wasting your time with such an asshole? तुम जाओ यार, तुम जाओ तुम जाओ जा के शादी वादी कर लो, बच्चे अच्छे पैदा कर लो।",99.58261847496033
Cuss words,0.8938347101211548,we all feel विश्व ली बहुत ड्राॅ। इसको एक टाइटल भी दिया मौत ऍम बॉस बॉस को बोलो धंधे पे ध्यान दो क्रिएटिविटी। ॅ फॅर हाँ ऍम ऍम ऍम sounds,0.3550153458490968
Cuss words,0.8932638764381409,"What do you want me to say? Neha life moves on. Life moves. You moved on Shiv. Don't Chaka emoji Chor, you left me. I still waited for you, ok?",0.08122683502733707
Cuss words,0.8927958011627197,"तो मैं क्या लगता है? मुझे ऐसी छूट की मदद चाहिए। -- why
-- are you behaving like such an asshole?",99.29514527320862
Cuss words,0.8922045230865479,"-- कितनी बार बोला सुंदर
-- के आकर लाइन डिस्टर्ब होता है। तू जायेगा रोज का इसका I चालू ना। हाँ तो चुपचाप चल अन्ना बुलाते।",0.4920245613902807
Cuss words,0.8920713067054749,"I want to see you guys fail miserably fall flat on your faces and have a good laugh. Well, अगर ऐसा कुछ है ही नहीं। at least we'll know that",0.638734083622694
Cuss words,0.891125500202179,You just disappeared without giving a fuck about what would happen to me? The Marisa Hua.,99.14997220039368
Question,Weaviate certainty,Text,Score
Derogatory remarks on certain sections of society or religion,0.8831993639469147,"I want to see you guys fail miserably fall flat on your faces and have a good laugh. Well, अगर ऐसा कुछ है ही नहीं। at least we'll know that",0.638734083622694
Derogatory remarks on certain sections of society or religion,0.882940948009491,"तो मैं क्या लगता है? मुझे ऐसी छूट की मदद चाहिए। -- why
-- are you behaving like such an asshole?",99.29514527320862
Derogatory remarks on certain sections of society or religion,0.8805035352706909,"-- Why are you
-- wasting your time with such an asshole? तुम जाओ यार, तुम जाओ तुम जाओ जा के शादी वादी कर लो, बच्चे अच्छे पैदा कर लो।",99.58261847496033
Derogatory remarks on certain sections of society or religion,0.8800598978996277,"What do you want me to say? Neha life moves on. Life moves. You moved on Shiv. Don't Chaka emoji Chor, you left me. I still waited for you, ok?",0.08122683502733707
Derogatory remarks on certain sections of society or religion,0.8771286010742188,"चिंटू जैसे लोग मेरी मदद करेंगे। ok, Shiv don't take this in the wrong way, ok? I'm just trying to help. I don't need help ne I'm shit. Fucking ma",99.67226386070251
Derogatory remarks on certain sections of society or religion,0.8762062788009644,"we tried our level best. Well, obviously your best is not good enough लगता। इसमें ये वजह बहुत इंपॉर्टेंट है। मेरे लिए",0.170356803573668
Derogatory remarks on certain sections of society or religion,0.8755929470062256,सत्रह से ज्यादा किसी हिसाब में नहीं बैठेगा। भाई नाराज मत हुई थी। किधर इधर आओ मोटा बात करते हैं। पूरा बीस बीस में फाइनल करते हैं।,0.5470205564051867
Derogatory remarks on certain sections of society or religion,0.8743148148059845,मेरा बात हो गया ऍम क्यों ले रहे ऍम थोडा गर्म था करके। हो जायेगा हो जायेगा। क्या हालत बना के रखा है रे बेकार लगता है टोटल भिखारी,0.5769730545580387
Derogatory remarks on certain sections of society or religion,0.8740821778774261,"My name is Arjun. W my family owns the boat club down the road. मुझे पाल इसका झंझट नहीं चाहिए। Can you please help, please? No. ऍम ऍम ऍम Mhm.",0.11082751443609595
Derogatory remarks on certain sections of society or religion,0.8738796412944794,"चोरी का माल नहीं है। ना तो वजन के हिसाब से जो भी होता है, ईमानदारी से दे देगा। वैसे तो पंद्रह हजार होता है, लेकिन आपका रब मिले तो",0.4531031474471092
Question,Weaviate certainty,Text,Score
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.8931790590286255,"I want to see you guys fail miserably fall flat on your faces and have a good laugh. Well, अगर ऐसा कुछ है ही नहीं। at least we'll know that",0.638734083622694
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.8917264342308044,"What do you want me to say? Neha life moves on. Life moves. You moved on Shiv. Don't Chaka emoji Chor, you left me. I still waited for you, ok?",0.08122683502733707
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.8913789391517639,नाॅक तुझे मिला होता तो फ्री में दारू पीते थे। अरे यार संजू बाइक वे चिंटू ऍम कॅश होता है। ऍम one vertical. The beard is beard. Nice. नहीं,0.30008270405232906
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.8911360204219818,"तो मैं क्या लगता है? मुझे ऐसी छूट की मदद चाहिए। -- why
-- are you behaving like such an asshole?",99.29514527320862
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.8872540593147278,"-- Why are you
-- wasting your time with such an asshole? तुम जाओ यार, तुम जाओ तुम जाओ जा के शादी वादी कर लो, बच्चे अच्छे पैदा कर लो।",99.58261847496033
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.884900689125061,"we tried our level best. Well, obviously your best is not good enough लगता। इसमें ये वजह बहुत इंपॉर्टेंट है। मेरे लिए",0.170356803573668
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.8847631216049194,"My name is Arjun. W my family owns the boat club down the road. मुझे पाल इसका झंझट नहीं चाहिए। Can you please help, please? No. ऍम ऍम ऍम Mhm.",0.11082751443609595
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.8831434845924377,"That's all you're fucking capable of anyway. You know what I shouldn't have called you so harsh, harsher. Look at his eyes. Exactly what the fuck out. ओके",98.85320663452148
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.8830006122589111,"Hello, Neha. Do go in. सिर्फ वाली भी वाली हमको क्या लेना",0.15854669036343694
"Derogatory remarks on the Army, Navy, Air Force, or national flag",0.8826712965965271,मेरा बात हो गया ऍम क्यों ले रहे ऍम थोडा गर्म था करके। हो जायेगा हो जायेगा। क्या हालत बना के रखा है रे बेकार लगता है टोटल भिखारी,0.5769730545580387
Question,Weaviate certainty,Text,Score
Identify text containing cuss words,0.881403923034668,"कुछ लिख दिया वो -- और
-- हम उसे ढूँढ रहे हैं, हो सकता है ही है।",0.2824214519932866
Identify text containing cuss words,0.8805460035800934,नाॅक तुझे मिला होता तो फ्री में दारू पीते थे। अरे यार संजू बाइक वे चिंटू ऍम कॅश होता है। ऍम one vertical. The beard is beard. Nice. नहीं,0.30008270405232906
Identify text containing cuss words,0.880041241645813,जल्दी आप इसको क्लीन कीजिये। अरे इधर ऍम पे कॉल किया था आज रात का टाइम पे पहुँच हम मार के इधर उधर लुढक मत जाना टाइम पे पहुँच जाना।,0.5255661439150572
Identify text containing cuss words,0.8799548745155334,कैसे बैठेगा टेबल पे तू है ना। पैसे निकला ना। तो कर ले नकली है। दिखता है। out to get kid. हाँ जी लिखिए। आज तो तेरी हाॅल हाँ,0.4549824632704258
Identify text containing cuss words,0.8795613646507263,"That's all you're fucking capable of anyway. You know what I shouldn't have called you so harsh, harsher. Look at his eyes. Exactly what the fuck out. ओके",98.85320663452148
Identify text containing cuss words,0.8788252472877502,we all feel विश्व ली बहुत ड्राॅ। इसको एक टाइटल भी दिया मौत ऍम बॉस बॉस को बोलो धंधे पे ध्यान दो क्रिएटिविटी। ॅ फॅर हाँ ऍम ऍम ऍम sounds,0.3550153458490968
Identify text containing cuss words,0.8784367442131042,"चिंटू जैसे लोग मेरी मदद करेंगे। ok, Shiv don't take this in the wrong way, ok? I'm just trying to help. I don't need help ne I'm shit. Fucking ma",99.67226386070251
Identify text containing cuss words,0.8780542016029358,"तो मैं क्या लगता है? मुझे ऐसी छूट की मदद चाहिए। -- why
-- are you behaving like such an asshole?",99.29514527320862
Identify text containing cuss words,0.8767160177230835,don't you think modern science would have found out about it by now? Come on. तो तुम्हें एक बात बताओ। What is that? I E Q. Good question.,0.13204292627051473
Identify text containing cuss words,0.8758692145347595,"माल आएगा, फिर तो बेचेगा फिर मेरे पैसे लौटाएगा। नंदे में बहुत मेहनत है मंगाना रंडी बाजी नशेबाजी तो दूर की बात है।",0.4448819439858198
Question,Weaviate certainty,Text,Score
Identify documents containing cuss words,0.8793184757232666,"That's all you're fucking capable of anyway. You know what I shouldn't have called you so harsh, harsher. Look at his eyes. Exactly what the fuck out. ओके",98.85320663452148
Identify documents containing cuss words,0.8792607486248016,कैसे बैठेगा टेबल पे तू है ना। पैसे निकला ना। तो कर ले नकली है। दिखता है। out to get kid. हाँ जी लिखिए। आज तो तेरी हाॅल हाँ,0.4549824632704258
Identify documents containing cuss words,0.8791311979293823,we all feel विश्व ली बहुत ड्राॅ। इसको एक टाइटल भी दिया मौत ऍम बॉस बॉस को बोलो धंधे पे ध्यान दो क्रिएटिविटी। ॅ फॅर हाँ ऍम ऍम ऍम sounds,0.3550153458490968
Identify documents containing cuss words,0.8779272437095642,"कुछ लिख दिया वो -- और
-- हम उसे ढूँढ रहे हैं, हो सकता है ही है।",0.2824214519932866
Identify documents containing cuss words,0.8771783113479614,"चिंटू जैसे लोग मेरी मदद करेंगे। ok, Shiv don't take this in the wrong way, ok? I'm just trying to help. I don't need help ne I'm shit. Fucking ma",99.67226386070251
Identify documents containing cuss words,0.876017689704895,जल्दी आप इसको क्लीन कीजिये। अरे इधर ऍम पे कॉल किया था आज रात का टाइम पे पहुँच हम मार के इधर उधर लुढक मत जाना टाइम पे पहुँच जाना।,0.5255661439150572
Identify documents containing cuss words,0.8757287561893463,"तो मैं क्या लगता है? मुझे ऐसी छूट की मदद चाहिए। -- why
-- are you behaving like such an asshole?",99.29514527320862
Identify documents containing cuss words,0.8749992251396179,नाॅक तुझे मिला होता तो फ्री में दारू पीते थे। अरे यार संजू बाइक वे चिंटू ऍम कॅश होता है। ऍम one vertical. The beard is beard. Nice. नहीं,0.30008270405232906
Identify documents containing cuss words,0.8741309642791748,"I want to see you guys fail miserably fall flat on your faces and have a good laugh. Well, अगर ऐसा कुछ है ही नहीं। at least we'll know that",0.638734083622694
Identify documents containing cuss words,0.8739615678787231,"माल आएगा, फिर तो बेचेगा फिर मेरे पैसे लौटाएगा। नंदे में बहुत मेहनत है मंगाना रंडी बाजी नशेबाजी तो दूर की बात है।",0.4448819439858198
Question,Weaviate certainty,Text,Score
Find text similar to cuss words,0.8923777937889099,"चिंटू जैसे लोग मेरी मदद करेंगे। ok, Shiv don't take this in the wrong way, ok? I'm just trying to help. I don't need help ne I'm shit. Fucking ma",99.67226386070251
Find text similar to cuss words,0.8916924893856049,we all feel विश्व ली बहुत ड्राॅ। इसको एक टाइटल भी दिया मौत ऍम बॉस बॉस को बोलो धंधे पे ध्यान दो क्रिएटिविटी। ॅ फॅर हाँ ऍम ऍम ऍम sounds,0.3550153458490968
Find text similar to cuss words,0.8910611271858215,"तो मैं क्या लगता है? मुझे ऐसी छूट की मदद चाहिए। -- why
-- are you behaving like such an asshole?",99.29514527320862
Find text similar to cuss words,0.8899320960044861,"That's all you're fucking capable of anyway. You know what I shouldn't have called you so harsh, harsher. Look at his eyes. Exactly what the fuck out. ओके",98.85320663452148
Find text similar to cuss words,0.8880574405193329,कैसे बैठेगा टेबल पे तू है ना। पैसे निकला ना। तो कर ले नकली है। दिखता है। out to get kid. हाँ जी लिखिए। आज तो तेरी हाॅल हाँ,0.4549824632704258
Find text similar to cuss words,0.8874096870422363,नाॅक तुझे मिला होता तो फ्री में दारू पीते थे। अरे यार संजू बाइक वे चिंटू ऍम कॅश होता है। ऍम one vertical. The beard is beard. Nice. नहीं,0.30008270405232906
Find text similar to cuss words,0.8868356049060822,"कुछ लिख दिया वो -- और
-- हम उसे ढूँढ रहे हैं, हो सकता है ही है।",0.2824214519932866
Find text similar to cuss words,0.8866541981697083,जल्दी आप इसको क्लीन कीजिये। अरे इधर ऍम पे कॉल किया था आज रात का टाइम पे पहुँच हम मार के इधर उधर लुढक मत जाना टाइम पे पहुँच जाना।,0.5255661439150572
Find text similar to cuss words,0.8862694501876831,"I want to see you guys fail miserably fall flat on your faces and have a good laugh. Well, अगर ऐसा कुछ है ही नहीं। at least we'll know that",0.638734083622694
Find text similar to cuss words,0.8861930966377258,"-- Why are you
-- wasting your time with such an asshole? तुम जाओ यार, तुम जाओ तुम जाओ जा के शादी वादी कर लो, बच्चे अच्छे पैदा कर लो।",99.58261847496033
Find text which have cuss words,0.8881577253341675,"That's all you're fucking capable of anyway. You know what I shouldn't have called you so harsh, harsher. Look at his eyes. Exactly what the fuck out. ओके",98.85320663452148
Find text which have cuss words,0.8863518536090851,"चिंटू जैसे लोग मेरी मदद करेंगे। ok, Shiv don't take this in the wrong way, ok? I'm just trying to help. I don't need help ne I'm shit. Fucking ma",99.67226386070251
Find text which have cuss words,0.8858719766139984,"कुछ लिख दिया वो -- और
-- हम उसे ढूँढ रहे हैं, हो सकता है ही है।",0.2824214519932866
Find text which have cuss words,0.8847945034503937,we all feel विश्व ली बहुत ड्राॅ। इसको एक टाइटल भी दिया मौत ऍम बॉस बॉस को बोलो धंधे पे ध्यान दो क्रिएटिविटी। ॅ फॅर हाँ ऍम ऍम ऍम sounds,0.3550153458490968
Find text which have cuss words,0.8846190571784973,जल्दी आप इसको क्लीन कीजिये। अरे इधर ऍम पे कॉल किया था आज रात का टाइम पे पहुँच हम मार के इधर उधर लुढक मत जाना टाइम पे पहुँच जाना।,0.5255661439150572
Find text which have cuss words,0.8844829201698303,"तो मैं क्या लगता है? मुझे ऐसी छूट की मदद चाहिए। -- why
-- are you behaving like such an asshole?",99.29514527320862
Find text which have cuss words,0.8839769661426544,कैसे बैठेगा टेबल पे तू है ना। पैसे निकला ना। तो कर ले नकली है। दिखता है। out to get kid. हाँ जी लिखिए। आज तो तेरी हाॅल हाँ,0.4549824632704258
Find text which have cuss words,0.8838131427764893,नाॅक तुझे मिला होता तो फ्री में दारू पीते थे। अरे यार संजू बाइक वे चिंटू ऍम कॅश होता है। ऍम one vertical. The beard is beard. Nice. नहीं,0.30008270405232906
Find text which have cuss words,0.8836593925952911,"I want to see you guys fail miserably fall flat on your faces and have a good laugh. Well, अगर ऐसा कुछ है ही नहीं। at least we'll know that",0.638734083622694
Find text which have cuss words,0.8825896084308624,"-- Why are you
-- wasting your time with such an asshole? तुम जाओ यार, तुम जाओ तुम जाओ जा के शादी वादी कर लो, बच्चे अच्छे पैदा कर लो।",99.58261847496033
